scientific_name,family,genus,plant_rows,first_plant_id,chinese_name,source,note
Lippia abyssinica,Verbenaceae,Lippia,1,834,,TODO,
Lippia alba,Verbenaceae,Lippia,1,835,,TODO,
Lippia antaica,Verbenaceae,Lippia,1,836,,TODO,
Lippia angustifolia,Verbenaceae,Lippia,1,837,,TODO,
Lippia brachypoda,Verbenaceae,Lippia,1,838,,TODO,
Lippia bracteosa,Verbenaceae,Lippia,1,839,,TODO,
Lippia carterae,Verbenaceae,Lippia,1,840,,TODO,
Jatropha gaumeri,Euphorbiaceae,Jatropha,1,841,,TODO,
Jatropha paradoxa,Euphorbiaceae,Jatropha,1,842,,TODO,
Lippia acutidens,Verbenaceae,Lippia,1,843,,TODO,
Lippia chiapasensis,Verbenaceae,Lippia,1,844,,TODO,
Lippia hirta,Verbenaceae,Lippia,1,845,,TODO,
Lasianthus urophylloides,Rubiaceae,Lasianthus,1,846,,TODO,
Lippia javanica,Verbenaceae,Lippia,1,847,,TODO,
Leptostigma arnottianum,Rubiaceae,Leptostigma,1,848,,TODO,
Lippia lippioides,Verbenaceae,Lippia,1,849,,TODO,
Isochilus major,Orchidaceae,Isochilus,1,850,,TODO,
Lippia appendiculata,Verbenaceae,Lippia,1,851,,TODO,
Lippia praecox,Verbenaceae,Lippia,1,852,,TODO,
Lippia pseudothea,Verbenaceae,Lippia,1,853,,TODO,
Hyptis dumetorum,Lamiaceae,Hyptis,1,854,,TODO,REVIEW_LOW: rare genus in current corpus
Lippia pedunculata,Verbenaceae,Lippia,1,855,,TODO,
Lantana peduncularis,Verbenaceae,Lantana,1,856,,TODO,
Jatropha atacorensis,Euphorbiaceae,Jatropha,1,857,,TODO,
Lippia carviodora,Verbenaceae,Lippia,1,858,,TODO,
Lippia herbacea,Verbenaceae,Lippia,1,859,,TODO,
Anthurium crenatum,Araceae,Anthurium,1,860,,TODO,
Anthurium atropurpureum,Araceae,Anthurium,1,861,,TODO,
Anthurium obtusifolium,Araceae,Anthurium,1,862,,TODO,
Anthurium obtusum,Araceae,Anthurium,1,863,,TODO,
Anthurium galeottii,Araceae,Anthurium,1,864,,TODO,
Lithocarpus annamitorus,Fagaceae,Lithocarpus,1,865,,TODO,
Lithocarpus arcaulus,Fagaceae,Lithocarpus,1,866,,TODO,
Lithocarpus attenuatus,Fagaceae,Lithocarpus,1,867,,TODO,
Lithocarpus annamensis,Fagaceae,Lithocarpus,1,868,,TODO,
Lithocarpus areca,Fagaceae,Lithocarpus,1,869,,TODO,
Lithocarpus bancanus,Fagaceae,Lithocarpus,1,870,,TODO,
Lithocarpus bicoloratus,Fagaceae,Lithocarpus,1,871,,TODO,
Lithocarpus ailaoensis,Fagaceae,Lithocarpus,1,872,,TODO,
Lithocarpus andersonii,Fagaceae,Lithocarpus,1,873,,TODO,
Lithocarpus amygdalifolius,Fagaceae,Lithocarpus,1,874,,TODO,
Lithocarpus atjehensis,Fagaceae,Lithocarpus,1,875,,TODO,
Lithocarpus calophyllus,Fagaceae,Lithocarpus,1,876,,TODO,
Lithocarpus carolinae,Fagaceae,Lithocarpus,1,877,,TODO,
Lithocarpus castellarnauianus,Fagaceae,Lithocarpus,1,878,,TODO,
Lithocarpus bennettii,Fagaceae,Lithocarpus,1,879,,TODO,
Lithocarpus chiungchungensis,Fagaceae,Lithocarpus,1,880,,TODO,
Lithocarpus chifui,Fagaceae,Lithocarpus,1,881,,TODO,
Lithocarpus clathratus,Fagaceae,Lithocarpus,1,882,,TODO,
Lithocarpus concentricus,Fagaceae,Lithocarpus,1,883,,TODO,
Lithocarpus confinis,Fagaceae,Lithocarpus,1,884,,TODO,
Lithocarpus clementianus,Fagaceae,Lithocarpus,1,885,,TODO,
Lithocarpus conocarpus,Fagaceae,Lithocarpus,1,886,,TODO,
Lithocarpus brochidodromus,Fagaceae,Lithocarpus,1,887,,TODO,
Lithocarpus corneus,Fagaceae,Lithocarpus,1,888,,TODO,
Lithocarpus aggregatus,Fagaceae,Lithocarpus,1,889,,TODO,
Lithocarpus apricus,Fagaceae,Lithocarpus,1,890,,TODO,
Lithocarpus cyclophorus,Fagaceae,Lithocarpus,1,891,,TODO,
Lithocarpus balansae,Fagaceae,Lithocarpus,1,892,,TODO,
Lithocarpus dealbatus,Fagaceae,Lithocarpus,1,893,,TODO,
Lithocarpus caudatilimbus,Fagaceae,Lithocarpus,1,894,,TODO,
Lithocarpus echinops,Fagaceae,Lithocarpus,1,895,,TODO,
Lithocarpus echinotholus,Fagaceae,Lithocarpus,1,896,,TODO,
Lithocarpus eichleri,Fagaceae,Lithocarpus,1,897,,TODO,
Lithocarpus elaeagnifolius,Fagaceae,Lithocarpus,1,898,,TODO,
Lithocarpus elegans,Fagaceae,Lithocarpus,1,899,,TODO,
Lithocarpus elizabethae,Fagaceae,Lithocarpus,1,900,,TODO,
Lithocarpus brachystachyus,Fagaceae,Lithocarpus,1,901,,TODO,
Lithocarpus erythrocarpus,Fagaceae,Lithocarpus,1,902,,TODO,
Lithocarpus blumeanus,Fagaceae,Lithocarpus,1,903,,TODO,
Lithocarpus elephantum,Fagaceae,Lithocarpus,1,904,,TODO,
Lithocarpus acuminatus,Fagaceae,Lithocarpus,1,905,,TODO,
Lithocarpus fohaiensis,Fagaceae,Lithocarpus,1,906,,TODO,
Lithocarpus glutinosus,Fagaceae,Lithocarpus,1,907,,TODO,
Lithocarpus harlandii,Fagaceae,Lithocarpus,1,908,,TODO,
Lithocarpus havilandii,Fagaceae,Lithocarpus,1,909,,TODO,
Lithocarpus cleistocarpus,Fagaceae,Lithocarpus,1,910,,TODO,
Lithocarpus hypoglaucus,Fagaceae,Lithocarpus,1,911,,TODO,
Lithocarpus crassinervius,Fagaceae,Lithocarpus,1,912,,TODO,
Lithocarpus irwinii,Fagaceae,Lithocarpus,1,913,,TODO,
Lithocarpus jenkinsii,Fagaceae,Lithocarpus,1,914,,TODO,
Lithocarpus jordanae,Fagaceae,Lithocarpus,1,915,,TODO,
Lithocarpus dodonaeifolius,Fagaceae,Lithocarpus,1,916,,TODO,
Lithocarpus korthalsii,Fagaceae,Lithocarpus,1,917,,TODO,
Lithocarpus laetus,Fagaceae,Lithocarpus,1,918,,TODO,
Lithocarpus kingianus,Fagaceae,Lithocarpus,1,919,,TODO,
Lithocarpus imperialis,Fagaceae,Lithocarpus,1,920,,TODO,
Lithocarpus gracilis,Fagaceae,Lithocarpus,1,921,,TODO,
Anthurium cordatum,Araceae,Anthurium,1,922,,TODO,
Lithocarpus amoenus,Fagaceae,Lithocarpus,1,923,,TODO,
Lithocarpus amherstianus,Fagaceae,Lithocarpus,1,924,,TODO,
Lithocarpus listeri,Fagaceae,Lithocarpus,1,925,,TODO,
Lithocarpus lithocarpaeus,Fagaceae,Lithocarpus,1,926,,TODO,
Lithocarpus longinux,Fagaceae,Lithocarpus,1,927,,TODO,
Lithocarpus caudatifolius,Fagaceae,Lithocarpus,1,928,,TODO,
Lithocarpus lycoperdon,Fagaceae,Lithocarpus,1,929,,TODO,
Lithocarpus macphailii,Fagaceae,Lithocarpus,1,930,,TODO,
Lithocarpus magnificus,Fagaceae,Lithocarpus,1,931,,TODO,
Lithocarpus hancei,Fagaceae,Lithocarpus,1,932,,TODO,
Lithocarpus mairei,Fagaceae,Lithocarpus,1,933,,TODO,
Lithocarpus mekongensis,Fagaceae,Lithocarpus,1,934,,TODO,
Lithocarpus melanochromus,Fagaceae,Lithocarpus,1,935,,TODO,
Lithocarpus menadoensis,Fagaceae,Lithocarpus,1,936,,TODO,
Lithocarpus chienchuanensis,Fagaceae,Lithocarpus,1,937,,TODO,
Lithocarpus milroyi,Fagaceae,Lithocarpus,1,938,,TODO,
Lithocarpus apoensis,Fagaceae,Lithocarpus,1,939,,TODO,
Lithocarpus moluccus,Fagaceae,Lithocarpus,1,940,,TODO,
Lithocarpus monticola,Fagaceae,Lithocarpus,1,941,,TODO,
Lithocarpus litseifolius,Fagaceae,Lithocarpus,1,942,,TODO,
Lithocarpus hallieri,Fagaceae,Lithocarpus,1,943,,TODO,
Lithocarpus ollus,Fagaceae,Lithocarpus,1,944,,TODO,
Lithocarpus oogyne,Fagaceae,Lithocarpus,1,945,,TODO,
Lithocarpus coopertus,Fagaceae,Lithocarpus,1,946,,TODO,
Lithocarpus falconeri,Fagaceae,Lithocarpus,1,947,,TODO,
Lithocarpus palungensis,Fagaceae,Lithocarpus,1,948,,TODO,
Liparis pauliana,Orchidaceae,Liparis,1,949,,TODO,
Lithocarpus philippinensis,Fagaceae,Lithocarpus,1,950,,TODO,
Lithocarpus polystachyus,Fagaceae,Lithocarpus,1,951,,TODO,
Lithocarpus pseudoxizangensis,Fagaceae,Lithocarpus,1,952,,TODO,
Lithocarpus pulcher,Fagaceae,Lithocarpus,1,953,,TODO,
Lithocarpus encleisacarpus,Fagaceae,Lithocarpus,1,954,,TODO,
Lithocarpus rosthornii,Fagaceae,Lithocarpus,1,955,,TODO,
Lithocarpus daphnoideus,Fagaceae,Lithocarpus,1,956,,TODO,
Lithocarpus aspericupulus,Fagaceae,Lithocarpus,1,957,,TODO,
Lithocarpus rufus,Fagaceae,Lithocarpus,1,958,,TODO,
Lithocarpus shinsuiensis,Fagaceae,Lithocarpus,1,959,,TODO,
Lithocarpus skanianus,Fagaceae,Lithocarpus,1,960,,TODO,
Lithocarpus sogerensis,Fagaceae,Lithocarpus,1,961,,TODO,
Lithocarpus solerianus,Fagaceae,Lithocarpus,1,962,,TODO,
Lithocarpus garrettianus,Fagaceae,Lithocarpus,1,963,,TODO,
Lithocarpus suffruticosus,Fagaceae,Lithocarpus,1,964,,TODO,
Lithocarpus calolepis,Fagaceae,Lithocarpus,1,965,,TODO,
Lithocarpus cantleyanus,Fagaceae,Lithocarpus,1,966,,TODO,
Lithocarpus turbinatus,Fagaceae,Lithocarpus,1,967,,TODO,
Lithocarpus variolosus,Fagaceae,Lithocarpus,1,968,,TODO,
Lithocarpus vidalii,Fagaceae,Lithocarpus,1,969,,TODO,
Lithocarpus wallichianus,Fagaceae,Lithocarpus,1,970,,TODO,
Lithocarpus wrayi,Fagaceae,Lithocarpus,1,971,,TODO,
Lithocarpus xylocarpus,Fagaceae,Lithocarpus,1,972,,TODO,
Lithomyrtus densifolia,Myrtaceae,Lithomyrtus,1,973,,TODO,
Lithomyrtus hypoleuca,Myrtaceae,Lithomyrtus,1,974,,TODO,
Lithomyrtus obtusa,Myrtaceae,Lithomyrtus,1,975,,TODO,
Livistona australis,Arecaceae,Livistona,1,976,,TODO,
Anthurium pedatum,Araceae,Anthurium,1,977,,TODO,
Livistona boninensis,Arecaceae,Livistona,1,978,,TODO,
Livistona carinensis,Arecaceae,Livistona,1,979,,TODO,
Livistona chinensis,Arecaceae,Livistona,1,980,蒲葵,MANUAL,
Livistona drudei,Arecaceae,Livistona,1,981,,TODO,
Livistona endauensis,Arecaceae,Livistona,1,982,,TODO,
Livistona halongensis,Arecaceae,Livistona,1,983,,TODO,
Livistona fulva,Arecaceae,Livistona,1,984,,TODO,
Livistona saribus,Arecaceae,Livistona,1,985,,TODO,
Lobanilia bakeriana,Euphorbiaceae,Lobanilia,1,986,,TODO,
Lobanilia luteobrunnea,Euphorbiaceae,Lobanilia,1,987,,TODO,
Lockhartia imbricata,Orchidaceae,Lockhartia,1,988,,TODO,
Lepanthes triura,Orchidaceae,Lepanthes,1,989,,TODO,
Loefgrenianthus blanche-amesiae,Orchidaceae,Loefgrenianthus,1,990,,TODO,
Anthurium lacerdae,Araceae,Anthurium,1,991,,TODO,
Lophomyrtus obcordata,Myrtaceae,Lophomyrtus,1,992,,TODO,
Lophostemon confertus,Myrtaceae,Lophostemon,1,993,,TODO,
Lophostemon grandiflorus,Myrtaceae,Lophostemon,1,994,,TODO,
Lophostemon suaveolens,Myrtaceae,Lophostemon,1,995,,TODO,
Loxococcus rupicola,Arecaceae,Loxococcus,1,996,,TODO,
Luculia gratissima,Rubiaceae,Luculia,1,997,,TODO,
Anthurium podophyllum,Araceae,Anthurium,1,998,,TODO,
Anthurium macarenense,Araceae,Anthurium,1,999,,TODO,
Lucuma dominigensis,Sapotaceae,Lucuma,1,1000,,TODO,
Lucuma venosa,Sapotaceae,Lucuma,1,1001,,TODO,
Lucya tetrandra,Rubiaceae,Lucya,1,1002,,TODO,
Ludisia discolor,Orchidaceae,Ludisia,1,1003,,TODO,
Lueckelia breviloba,Orchidaceae,Lueckelia,1,1004,,TODO,
Lueddemannia pescatorei,Orchidaceae,Lueddemannia,1,1005,,TODO,
Luisia abrahami,Orchidaceae,Luisia,1,1006,,TODO,
Luisia inconspicua,Orchidaceae,Luisia,1,1007,,TODO,
Luisia longispica,Orchidaceae,Luisia,1,1008,,TODO,
Luisia trichorhiza,Orchidaceae,Luisia,1,1009,,TODO,
Luma apiculata,Myrtaceae,Luma,1,1010,,TODO,
Luma chequen,Myrtaceae,Luma,1,1011,,TODO,
Lycaste aromatica,Orchidaceae,Lycaste,1,1012,,TODO,
Lycaste brevispatha,Orchidaceae,Lycaste,1,1013,,TODO,
Lycaste deppei,Orchidaceae,Lycaste,1,1014,,TODO,
Lycaste leucantha,Orchidaceae,Lycaste,1,1015,,TODO,
Anthurium angustatum,Araceae,Anthurium,1,1016,,TODO,
Lycaste luminosa,Orchidaceae,Lycaste,1,1017,,TODO,
Lycaste virginalis,Orchidaceae,Lycaste,1,1018,,TODO,
Anthurium radicans,Araceae,Anthurium,1,1019,,TODO,
Lycomormium ecuadorense,Orchidaceae,Lycomormium,1,1020,,TODO,
Lycopus americanus,Lamiaceae,Lycopus,1,1021,,TODO,
Ixora henryi,Rubiaceae,Ixora,1,1022,,TODO,
Lycopus alissoviae,Lamiaceae,Lycopus,1,1023,,TODO,
Houstonia serpyllifolia,Rubiaceae,Houstonia,1,1024,,TODO,REVIEW_LOW: rare genus in current corpus
Acalypha rhombifolia,Euphorbiaceae,Acalypha,1,1025,,TODO,
Lysichiton americanus,Araceae,Lysichiton,1,1026,,TODO,
Jatropha paxii,Euphorbiaceae,Jatropha,1,1027,,TODO,
Anthurium retiferum,Araceae,Anthurium,1,1028,,TODO,
Mabea frutescens,Euphorbiaceae,Mabea,1,1029,,TODO,
Mabea arenicola,Euphorbiaceae,Mabea,1,1030,,TODO,
Mabea angustifolia,Euphorbiaceae,Mabea,1,1031,,TODO,
Jatropha canescens,Euphorbiaceae,Jatropha,1,1032,,TODO,
Mabea tenorioi,Euphorbiaceae,Mabea,1,1033,,TODO,
Macaranga alchorneoides,Euphorbiaceae,Macaranga,1,1034,,TODO,
Macaranga assas,Euphorbiaceae,Macaranga,1,1035,,TODO,
Macaranga albescens,Euphorbiaceae,Macaranga,1,1036,,TODO,
Macaranga capensis,Euphorbiaceae,Macaranga,1,1037,,TODO,
Ixora triantha,Rubiaceae,Ixora,1,1038,,TODO,
Macaranga cissifolia,Euphorbiaceae,Macaranga,1,1039,,TODO,
Macaranga angolensis,Euphorbiaceae,Macaranga,1,1040,,TODO,
Macaranga coriacea,Euphorbiaceae,Macaranga,1,1041,,TODO,
Macaranga conifera,Euphorbiaceae,Macaranga,1,1042,,TODO,
Macaranga bancana,Euphorbiaceae,Macaranga,1,1043,,TODO,
Macaranga dioica,Euphorbiaceae,Macaranga,1,1044,,TODO,
Macaranga glaberrima,Euphorbiaceae,Macaranga,1,1045,,TODO,
Macaranga glabra,Euphorbiaceae,Macaranga,1,1046,,TODO,
Macaranga angulata,Euphorbiaceae,Macaranga,1,1047,,TODO,
Anthurium coleomischum,Araceae,Anthurium,1,1048,,TODO,
Macaranga henryi,Euphorbiaceae,Macaranga,1,1049,,TODO,
Macaranga cordifolia,Euphorbiaceae,Macaranga,1,1050,,TODO,
Mabea macbridei,Euphorbiaceae,Mabea,1,1051,,TODO,
Macaranga denticulata,Euphorbiaceae,Macaranga,1,1052,,TODO,
Lasianthus biermannii,Rubiaceae,Lasianthus,1,1053,,TODO,
Ixora ooumuensis,Rubiaceae,Ixora,1,1054,,TODO,
Anthurium metallicum,Araceae,Anthurium,1,1055,,TODO,
Jatropha chevalieri,Euphorbiaceae,Jatropha,1,1056,,TODO,
Macaranga involucrata,Euphorbiaceae,Macaranga,1,1057,,TODO,
Lepinia ponapensis,Apocynaceae,Lepinia,1,1058,,TODO,
Macaranga constricta,Euphorbiaceae,Macaranga,1,1059,,TODO,
Ixora letestui,Rubiaceae,Ixora,1,1060,,TODO,
Macaranga lutescens,Euphorbiaceae,Macaranga,1,1061,,TODO,
Ixora bullata,Rubiaceae,Ixora,1,1062,,TODO,
Anoectochilus nicobaricus,Orchidaceae,Anoectochilus,1,1063,,TODO,
Macaranga cuspidata,Euphorbiaceae,Macaranga,1,1064,,TODO,
Anthurium sarukhanianum,Araceae,Anthurium,1,1065,,TODO,
Macaranga puncticulata,Euphorbiaceae,Macaranga,1,1066,,TODO,
Anthurium scandens,Araceae,Anthurium,1,1067,,TODO,
Macaranga puberula,Euphorbiaceae,Macaranga,1,1068,,TODO,
Macaranga spathicalyx,Euphorbiaceae,Macaranga,1,1069,,TODO,
Macaranga mappa,Euphorbiaceae,Macaranga,1,1070,,TODO,
Macaranga teysmannii,Euphorbiaceae,Macaranga,1,1071,,TODO,
Machaonia brasiliensis,Rubiaceae,Machaonia,1,1072,,TODO,
Lasiocroton macrophyllus,Euphorbiaceae,Lasiocroton,1,1073,,TODO,
Machaonia acunae,Rubiaceae,Machaonia,1,1074,,TODO,
Machaonia havanensis,Rubiaceae,Machaonia,1,1075,,TODO,
Machaonia ottonis,Rubiaceae,Machaonia,1,1076,,TODO,
Leucocroton moaensis,Euphorbiaceae,Leucocroton,1,1077,,TODO,
Mackinlaya celebica,Apiaceae,Mackinlaya,1,1078,,TODO,
Huntleya lucida,Orchidaceae,Huntleya,1,1079,,TODO,
Macradenia loxoglottis,Orchidaceae,Macradenia,1,1080,,TODO,
Macradenia multiflora,Orchidaceae,Macradenia,1,1081,,TODO,
Macroclinium brasiliense,Orchidaceae,Macroclinium,1,1082,,TODO,
Macroclinium cordesii,Orchidaceae,Macroclinium,1,1083,,TODO,
Macroclinium dentiferum,Orchidaceae,Macroclinium,1,1084,,TODO,
Macroclinium doderoi,Orchidaceae,Macroclinium,1,1085,,TODO,
Macroclinium escobarianum,Orchidaceae,Macroclinium,1,1086,,TODO,
Macroclinium aduncum,Orchidaceae,Macroclinium,1,1087,,TODO,
Macroclinium mirabile,Orchidaceae,Macroclinium,1,1088,,TODO,
Macroclinium coffeicola,Orchidaceae,Macroclinium,1,1089,,TODO,
Macroclinium lexarzanum,Orchidaceae,Macroclinium,1,1090,,TODO,
Macroclinium lineare,Orchidaceae,Macroclinium,1,1091,,TODO,
Macroclinium manabinum,Orchidaceae,Macroclinium,1,1092,,TODO,
Macroclinium christensonii,Orchidaceae,Macroclinium,1,1093,,TODO,
Macroclinium wullschlaegelianum,Orchidaceae,Macroclinium,1,1094,,TODO,
Macrocnemum humboldtianum,Rubiaceae,Macrocnemum,1,1095,,TODO,
Macrocnemum roseum,Rubiaceae,Macrocnemum,1,1096,,TODO,
Lippia lasiocalyx,Verbenaceae,Lippia,1,1097,,TODO,
Macropanax baviensis,Araliaceae,Macropanax,1,1098,,TODO,
Macropanax chienii,Araliaceae,Macropanax,1,1099,,TODO,
Macropanax maingayi,Araliaceae,Macropanax,1,1100,,TODO,
Macropanax membranifolius,Araliaceae,Macropanax,1,1101,,TODO,
Macropanax rosthornii,Araliaceae,Macropanax,1,1102,,TODO,
Macropanax serratifolius,Araliaceae,Macropanax,1,1103,,TODO,
Macropanax grushvitzkii,Araliaceae,Macropanax,1,1104,,TODO,
Macropharynx meyeri,Apocynaceae,Macropharynx,1,1105,,TODO,
Macropodanthus alatus,Orchidaceae,Macropodanthus,1,1106,,TODO,
Macropodanthus membranifer,Orchidaceae,Macropodanthus,1,1107,,TODO,
Macropodanthus teysmannii,Orchidaceae,Macropodanthus,1,1108,,TODO,
Macrosphyra longistyla,Rubiaceae,Macrosphyra,1,1109,,TODO,
Madhuca alpina,Sapotaceae,Madhuca,1,1110,,TODO,
Isonandra borneensis,Sapotaceae,Isonandra,1,1111,,TODO,
Madhuca betis,Sapotaceae,Madhuca,1,1112,,TODO,
Madhuca bourdillonii,Sapotaceae,Madhuca,1,1113,,TODO,
Madhuca barbata,Sapotaceae,Madhuca,1,1114,,TODO,
Anthurium sinuatum,Araceae,Anthurium,1,1115,,TODO,
Madhuca burckiana,Sapotaceae,Madhuca,1,1116,,TODO,
Madhuca borneensis,Sapotaceae,Madhuca,1,1117,,TODO,
Madhuca chai-ananiae,Sapotaceae,Madhuca,1,1118,,TODO,
Madhuca cochinchinensis,Sapotaceae,Madhuca,1,1119,交趾木奶果,MANUAL,REVIEW_HIGH: likely CN-relevant epithet; GBIF_CJK_0; MANUAL_REVIEW_HIGH_OK; reviewer=系统管理员; reviewed_at=2026-03-29; review_note=cochinchinensis=越南南部
Madhuca crassipes,Sapotaceae,Madhuca,1,1120,,TODO,
Madhuca cuneata,Sapotaceae,Madhuca,1,1121,,TODO,
Madhuca aristulata,Sapotaceae,Madhuca,1,1122,,TODO,
Madhuca daemonica,Sapotaceae,Madhuca,1,1123,,TODO,
Madhuca elmeri,Sapotaceae,Madhuca,1,1124,,TODO,
Madhuca cheongiana,Sapotaceae,Madhuca,1,1125,,TODO,
Madhuca esculenta,Sapotaceae,Madhuca,1,1126,,TODO,
Madhuca fulva,Sapotaceae,Madhuca,1,1127,,TODO,
Madhuca fusca,Sapotaceae,Madhuca,1,1128,,TODO,
Ixora effusa,Rubiaceae,Ixora,1,1129,,TODO,
Madhuca insignis,Sapotaceae,Madhuca,1,1130,,TODO,
Madhuca korthalsii,Sapotaceae,Madhuca,1,1131,,TODO,
Madhuca kingiana,Sapotaceae,Madhuca,1,1132,,TODO,
Madhuca coriacea,Sapotaceae,Madhuca,1,1133,,TODO,
Madhuca lancifolia,Sapotaceae,Madhuca,1,1134,,TODO,
Madhuca krabiensis,Sapotaceae,Madhuca,1,1135,,TODO,
Madhuca ligulata,Sapotaceae,Madhuca,1,1136,,TODO,
Madhuca longifolia,Sapotaceae,Madhuca,1,1137,,TODO,
Madhuca macrophylla,Sapotaceae,Madhuca,1,1138,,TODO,
Madhuca magnifolia,Sapotaceae,Madhuca,1,1139,,TODO,
Madhuca lobbii,Sapotaceae,Madhuca,1,1140,,TODO,
Madhuca motleyana,Sapotaceae,Madhuca,1,1141,,TODO,
Madhuca multiflora,Sapotaceae,Madhuca,1,1142,,TODO,
Madhuca moonii,Sapotaceae,Madhuca,1,1143,,TODO,
Madhuca orientalis,Sapotaceae,Madhuca,1,1144,,TODO,
Madhuca pachyphylla,Sapotaceae,Madhuca,1,1145,,TODO,
Madhuca palembanica,Sapotaceae,Madhuca,1,1146,,TODO,
Madhuca boerlageana,Sapotaceae,Madhuca,1,1147,,TODO,
Madhuca pasquieri,Sapotaceae,Madhuca,1,1148,,TODO,
Madhuca pierrei,Sapotaceae,Madhuca,1,1149,,TODO,
Madhuca prolixa,Sapotaceae,Madhuca,1,1150,,TODO,
Madhuca obtusifolia,Sapotaceae,Madhuca,1,1151,,TODO,
Madhuca selangorica,Sapotaceae,Madhuca,1,1152,,TODO,
Madhuca sessilis,Sapotaceae,Madhuca,1,1153,,TODO,
Madhuca hirtiflora,Sapotaceae,Madhuca,1,1154,,TODO,
Madhuca primoplagensis,Sapotaceae,Madhuca,1,1155,,TODO,
Hymenocardia ripicola,Phyllanthaceae,Hymenocardia,1,1156,,TODO,
Maesobotrya glabrata,Phyllanthaceae,Maesobotrya,1,1157,,TODO,
Maesobotrya griffoniana,Phyllanthaceae,Maesobotrya,1,1158,,TODO,
Maesobotrya klaineana,Phyllanthaceae,Maesobotrya,1,1159,,TODO,
Maesobotrya pynaertii,Phyllanthaceae,Maesobotrya,1,1160,,TODO,
Maesobotrya longipes,Phyllanthaceae,Maesobotrya,1,1161,,TODO,
Magnolia amazonica,Magnoliaceae,Magnolia,1,1162,,TODO,
Liparis gracilenta,Orchidaceae,Liparis,1,1163,,TODO,
Magnolia arcabucoana,Magnoliaceae,Magnolia,1,1164,,TODO,
Landolphia mandrianambo,Apocynaceae,Landolphia,1,1165,,TODO,
Magnolia betongensis,Magnoliaceae,Magnolia,1,1166,,TODO,
Anthurium signatum,Araceae,Anthurium,1,1167,,TODO,
Magnolia boliviana,Magnoliaceae,Magnolia,1,1168,,TODO,
Magnolia ashtonii,Magnoliaceae,Magnolia,1,1169,,TODO,
Magnolia cathcartii,Magnoliaceae,Magnolia,1,1170,,TODO,
Magnolia cespedesii,Magnoliaceae,Magnolia,1,1171,,TODO,
Magnolia champaca,Magnoliaceae,Magnolia,1,1172,,TODO,
Leonurus macranthus,Lamiaceae,Leonurus,1,1173,,TODO,
Magnolia cacuminicola,Magnoliaceae,Magnolia,1,1174,,TODO,
Lithocarpus megalophyllus,Fagaceae,Lithocarpus,1,1175,,TODO,
Kelloggia chinensis,Rubiaceae,Kelloggia,1,1176,中国钩毛草,MANUAL,REVIEW_HIGH: likely CN-relevant epithet; GBIF_CJK_0; MANUAL_REVIEW_HIGH_OK; reviewer=系统管理员; reviewed_at=2026-03-29; review_note=中国特有属
Magnolia colombiana,Magnoliaceae,Magnolia,1,1177,,TODO,
Magnolia dodecapetala,Magnoliaceae,Magnolia,1,1178,,TODO,
Magnolia duclouxii,Magnoliaceae,Magnolia,1,1179,,TODO,
Magnolia elegans,Magnoliaceae,Magnolia,1,1180,,TODO,
Magnolia coco,Magnoliaceae,Magnolia,1,1181,,TODO,
Magnolia fistulosa,Magnoliaceae,Magnolia,1,1182,,TODO,
Magnolia fordiana,Magnoliaceae,Magnolia,1,1183,,TODO,
Magnolia gigantifolia,Magnoliaceae,Magnolia,1,1184,,TODO,
Magnolia campbellii,Magnoliaceae,Magnolia,1,1185,,TODO,
Acalypha radinostachya,Euphorbiaceae,Acalypha,1,1186,,TODO,
Magnolia hodgsonii,Magnoliaceae,Magnolia,1,1187,,TODO,
Magnolia hookeri,Magnoliaceae,Magnolia,1,1188,,TODO,
Magnolia kachirachirai,Magnoliaceae,Magnolia,1,1189,,TODO,
Magnolia borneensis,Magnoliaceae,Magnolia,1,1190,,TODO,
Magnolia albosericea,Magnoliaceae,Magnolia,1,1191,,TODO,
Magnolia macklottii,Magnoliaceae,Magnolia,1,1192,,TODO,
Magnolia mannii,Magnoliaceae,Magnolia,1,1193,,TODO,
Lantana rugosa,Verbenaceae,Lantana,1,1194,,TODO,
Magnolia omeiensis,Magnoliaceae,Magnolia,1,1195,,TODO,
Magnolia iltisiana,Magnoliaceae,Magnolia,1,1196,,TODO,
Magnolia panamensis,Magnoliaceae,Magnolia,1,1197,,TODO,
Magnolia gustavi,Magnoliaceae,Magnolia,1,1198,,TODO,
Magnolia philippinensis,Magnoliaceae,Magnolia,1,1199,,TODO,
Magnolia poasana,Magnoliaceae,Magnolia,1,1200,,TODO,
Lithocarpus robinsonii,Fagaceae,Lithocarpus,1,1201,,TODO,
Acalypha schreiteri,Euphorbiaceae,Acalypha,1,1202,,TODO,
Magnolia caveana,Magnoliaceae,Magnolia,1,1203,,TODO,
Magnolia nitida,Magnoliaceae,Magnolia,1,1204,,TODO,
Magnolia gloriensis,Magnoliaceae,Magnolia,1,1205,,TODO,
Magnolia bintuluensis,Magnoliaceae,Magnolia,1,1206,,TODO,
Magnolia scortechinii,Magnoliaceae,Magnolia,1,1207,,TODO,
Magnolia sellowiana,Magnoliaceae,Magnolia,1,1208,,TODO,
Jatropha riojae,Euphorbiaceae,Jatropha,1,1209,,TODO,
Magnolia siamensis,Magnoliaceae,Magnolia,1,1210,,TODO,
Magnolia singapurensis,Magnoliaceae,Magnolia,1,1211,,TODO,
Magnolia sinica,Magnoliaceae,Magnolia,1,1212,,TODO,
